subject	trial	stimfile	condition	code	response	distractor	initTime	rt	DV_inmot	DV_dist	DV_velmax	DV_velmax_start	DV_acc_flips	DV_ADavg	DV_AUC	DV_initang	DV_dist_maxveloc	DV_ang_tot	DV_angflp_lat	DV_angflp_mot
2311	65	The boxer is punched by the kangeroo.wav	2	passive	2	1	399.000000	3132.000000	2733.000000	2.201741	116.578100	22.000000	11.000000	0.253907	0.886712	12.442421	0.794461	3.000000	2.000000	1.000000
2311	17	The zebra kicks the horse.wav	1	declarative	1	2	349.000000	1969.000000	1620.000000	2.109610	193.660869	34.000000	9.000000	0.273801	0.917623	-8.098100	0.496014	3.000000	1.000000	1.000000
2311	53	The cat attacks the fireman.wav	1	declarative	1	2	409.000000	2458.000000	2049.000000	2.001004	125.959388	96.000000	7.000000	0.322917	1.049647	7.129361	1.371208	9.000000	1.000000	8.000000
2311	69	The fish eats the fisherman.wav	1	declarative	2	1	369.000000	4742.000000	4373.000000	2.125368	132.501020	7.000000	4.000000	0.275031	0.947866	6.287694	0.000000	4.000000	0.000000	3.000000
2311	59	The dog was bitten by the snake.wav	2	passive	1	2	343.000000	4073.000000	3730.000000	2.341933	133.396915	14.000000	9.000000	0.269616	0.992626	-0.962055	0.476348	8.000000	0.000000	7.000000
2311	75	The daughter kisses the king.wav	1	declarative	1	2	394.000000	2466.000000	2072.000000	2.251015	168.903870	16.000000	21.000000	0.287866	0.838418	-8.441477	0.002214	9.000000	1.000000	8.000000
2311	60	The aunt is assisted by her niece.wav	2	passive	2	1	309.000000	9401.000000	9092.000000	2.188973	174.120255	3.000000	8.000000	0.304488	0.961900	-1.916518	0.000000	3.000000	0.000000	2.000000
2311	51	The chicken was scared by the crow.wav	2	passive	2	1	123.000000	5288.000000	5165.000000	2.125622	228.808523	94.000000	6.000000	0.512629	0.911012	-11.272306	0.969779	6.000000	1.000000	5.000000
2311	62	The baby touches the hamster.wav	1	declarative	1	2	349.000000	3483.000000	3134.000000	2.806087	145.621953	15.000000	12.000000	0.303160	0.943669	1.568662	0.398185	7.000000	1.000000	6.000000
2311	74	The duck was led by the penguin.wav	2	passive	1	2	309.000000	6556.000000	6247.000000	2.260010	302.245004	5.000000	15.000000	0.284562	0.903876	-0.670386	0.003900	6.000000	0.000000	4.000000
2311	73	The pig was followed by the hen.wav	2	passive	2	1	239.000000	6341.000000	6102.000000	2.210706	150.753399	96.000000	19.000000	0.387193	1.073697	-7.414202	1.456939	10.000000	1.000000	8.000000
2311	32	The nurse hugs the surgeon.wav	1	declarative	2	1	389.000000	2885.000000	2496.000000	2.146428	164.045394	96.000000	11.000000	0.440319	1.080260	-7.059989	1.326201	11.000000	1.000000	10.000000
2311	66	The skier was crushed by the snowboard.wav	2	passive	1	2	389.000000	6347.000000	5958.000000	2.187958	205.373862	6.000000	5.000000	0.373754	1.029485	1.747507	0.049306	6.000000	0.000000	5.000000
2311	42	The robber shoots the policeman.wav	1	declarative	2	1	407.000000	4135.000000	3728.000000	2.232919	119.654626	94.000000	10.000000	0.399128	1.067626	-4.761541	1.429624	13.000000	1.000000	12.000000
2311	48	The hero is killed by the robber.wav	2	passive	2	1	450.000000	4979.000000	4529.000000	2.196988	158.134461	9.000000	5.000000	0.380837	1.025458	-0.564562	0.011800	12.000000	0.000000	10.000000
2311	21	The bus hits the motorcycle.wav	1	declarative	2	1	329.000000	6036.000000	5707.000000	2.398537	209.192931	8.000000	6.000000	0.469267	1.222726	-20.392866	0.020766	6.000000	2.000000	4.000000
2385	34	The grandmother finds the grandson.wav	1	declarative	2	1	95.000000	5375.000000	5280.000000	1.564792	237.506481	93.000000	1.000000	0.318822	0.486223	16.659679	0.240794	5.000000	3.000000	1.000000
2385	14	The hero is killed by the robber.wav	2	passive	2	1	108.000000	5351.000000	5243.000000	1.568785	238.280611	96.000000	9.000000	0.269783	0.465483	26.388291	0.377381	5.000000	2.000000	3.000000
2385	68	The fish eats the fisherman.wav	1	declarative	2	1	339.000000	3140.000000	2801.000000	1.613557	319.433327	96.000000	5.000000	0.485409	0.481189	36.420655	0.016391	4.000000	3.000000	1.000000
2385	27	The chicken was scared by the crow.wav	2	passive	2	1	198.000000	2511.000000	2313.000000	1.479708	244.332530	96.000000	4.000000	0.277068	0.452270	33.548007	0.258046	10.000000	9.000000	0.000000
2385	64	The panda is colored by the monkey.wav	2	passive	2	1	169.000000	3625.000000	3456.000000	1.583463	314.965772	96.000000	0.000000	0.476572	0.461618	43.989936	0.008634	4.000000	3.000000	0.000000
2385	20	The puppy was licked by the kitten.wav	2	passive	1	2	129.000000	3931.000000	3802.000000	1.607991	269.947618	96.000000	13.000000	0.344761	0.646143	4.334358	0.258252	3.000000	1.000000	2.000000
